size;time
500;81042
600;95375
700;103166
800;116958
900;120875
1000;170750
1100;183750
1200;198417
1300;200208
1400;212541
1500;219750
1600;231583
1700;243250
1800;260125
1900;341042
2000;359417
2100;398208
2200;381166
2300;391416
2400;404166
2500;413667
2600;427750
2700;436208
2800;443916
2900;457250
3000;471708
3100;527625
3200;561250
3300;535500
3400;557083
3500;578500
3600;585041
3700;679417
3800;757167
3900;798792
4000;796625
4100;809584
4200;824083
4300;846292
4400;859750
4500;873959
4600;902375
4700;842708
4800;852000
4900;890416
5000;876209
5100;892917
5200;899625
5300;924292
5400;920917
5500;935042
5600;947125
5700;962666
5800;976875
5900;986750
6000;1032958
6100;1035958
6200;1077417
6300;1072666
6400;1083792
6500;1100834
6600;1106416
6700;1124875
6800;1174792
6900;1117166
7000;1126709
7100;1148959
7200;1257834
7300;1272541
7400;1357041
7500;1438958
7600;1506209
7700;1658500
7800;1659542
7900;1675042
8000;1732667
8100;1761625
8200;1761334
8300;1829750
8400;1776417
8500;1792375
8600;1988375
8700;1812750
8800;1787000
8900;1870875
9000;3438375
9100;1944625
9200;2502083
9300;1930958
9400;1945958
9500;1985875
9600;1891000
9700;2020875
9800;1854708
9900;1853958
10000;1834750
