size;time
500;21125
600;27625
700;39625
800;41500
900;45542
1000;53709
1100;93375
1200;62459
1300;65000
1400;67250
1500;74625
1600;79416
1700;87167
1800;91833
1900;97875
2000;114667
2100;124250
2200;133666
2300;174709
2400;145167
2500;156792
2600;158166
2700;165333
2800;169875
2900;176375
3000;180125
3100;192375
3200;195667
3300;199875
3400;242875
3500;210791
3600;225875
3700;228458
3800;234041
3900;242583
4000;247667
4100;256750
4200;256875
4300;274166
4400;288583
4500;300834
4600;296875
4700;343625
4800;305458
4900;313500
5000;331917
5100;331167
5200;334083
5300;338416
5400;367333
5500;349833
5600;403292
5700;367292
5800;379208
5900;380292
6000;387042
6100;404792
6200;405583
6300;410625
6400;484083
6500;429958
6600;490041
6700;444167
6800;477042
6900;457667
7000;520709
7100;472083
7200;490375
7300;491041
7400;499916
7500;518375
7600;532041
7700;526459
7800;537834
7900;575333
8000;547291
8100;567417
8200;569750
8300;632625
8400;638459
8500;652250
8600;658375
8700;666417
8800;668917
8900;675000
9000;687458
9100;699834
9200;704834
9300;706166
9400;728459
9500;739083
9600;732833
9700;749542
9800;745042
9900;763750
10000;760417
