size;time
500;122500
600;141417
700;136417
800;162000
900;162875
1000;219917
1100;233542
1200;252584
1300;264500
1400;304208
1500;294750
1600;332750
1700;331542
1800;352042
1900;440500
2000;465916
2100;483917
2200;541583
2300;514584
2400;536625
2500;545542
2600;564875
2700;582458
2800;600333
2900;619375
3000;644708
3100;676708
3200;684542
3300;727875
3400;755542
3500;768250
3600;821625
3700;937167
3800;1010084
3900;1068250
4000;1068958
4100;1057250
4200;1083666
4300;1112000
4400;1119625
4500;1147416
4600;1180958
4700;1250000
4800;1135583
4900;1152125
5000;1172375
5100;1193958
5200;1204541
5300;1226750
5400;1244125
5500;1257958
5600;1273209
5700;1310292
5800;1324833
5900;1359750
6000;1405959
6100;1409417
6200;1462083
6300;1462292
6400;1480625
6500;1503334
6600;1518291
6700;1540791
6800;1561958
6900;1557500
7000;1587750
7100;1576084
7200;1629583
7300;1808167
7400;1825834
7500;1893875
7600;1979750
7700;2043291
7800;2184125
7900;2193458
8000;2263542
8100;2413959
8200;2345291
8300;2422875
8400;2372667
8500;2386250
8600;2382958
8700;2417541
8800;2435875
8900;2538792
9000;2513958
9100;2612625
9200;2606709
9300;2600042
9400;2654583
9500;2921333
9600;2693042
9700;2643416
9800;2461667
9900;2679959
10000;2799416
