size;time
500;147125
600;87625
700;110792
800;144667
900;178041
1000;214458
1100;243667
1200;282250
1300;325458
1400;344583
1500;387042
1600;438417
1700;491750
1800;530500
1900;624083
2000;635541
2100;377584
2200;394250
2300;398750
2400;505708
2500;435500
2600;459417
2700;494250
2800;515209
2900;540208
3000;565959
3100;643125
3200;620667
3300;657500
3400;688125
3500;870041
3600;748417
3700;784667
3800;815167
3900;863417
4000;884292
4100;915792
4200;1023166
4300;988541
4400;1064500
4500;1067333
4600;1106292
4700;1137417
4800;1179083
4900;1231958
5000;1291083
5100;1308833
5200;1339417
5300;1384500
5400;1423417
5500;1527333
5600;1504458
5700;1566500
5800;1609084
5900;1680250
6000;1702084
6100;1764125
6200;1878750
6300;1843750
6400;1897916
6500;2094792
6600;2001833
6700;2108542
6800;2092042
6900;2158541
7000;2211875
7100;2293541
7200;2334500
7300;2410833
7400;2397541
7500;2503041
7600;2545167
7700;2585583
7800;2662459
7900;2692875
8000;2876250
8100;2840459
8200;2803042
8300;1557458
8400;1574750
8500;1615833
8600;1620750
8700;1655542
8800;1680333
8900;1706125
9000;1766334
9100;1757875
9200;1788041
9300;1831917
9400;1834708
9500;1860667
9600;1895333
9700;1914666
9800;1955083
9900;1999333
10000;2008167
