size;time
500;79250
600;101959
700;100500
800;106250
900;116125
1000;166458
1100;175833
1200;187125
1300;204167
1400;199292
1500;211583
1600;221875
1700;233708
1800;248542
1900;334583
2000;348875
2100;388375
2200;374417
2300;388250
2400;389917
2500;402084
2600;409167
2700;430583
2800;422250
2900;440125
3000;445625
3100;456959
3200;500750
3300;512375
3400;527208
3500;532958
3600;555792
3700;650875
3800;744000
3900;769250
4000;793666
4100;780292
4200;798542
4300;814792
4400;824167
4500;838166
4600;863584
4700;862709
4800;818834
4900;850333
5000;849333
5100;875542
5200;862292
5300;872625
5400;884292
5500;910167
5600;895708
5700;907625
5800;932708
5900;945375
6000;975208
6100;979584
6200;997875
6300;1015167
6400;1041583
6500;1059333
6600;1051542
6700;1068167
6800;1164458
6900;1071209
7000;1079459
7100;1082500
7200;1116125
7300;1219000
7400;1300708
7500;1394959
7600;1484833
7700;1581541
7800;1615792
7900;1699791
8000;1672125
8100;1735917
8200;1681500
8300;1760833
8400;1800250
8500;1752084
8600;1720833
8700;1770334
8800;1753250
8900;2038000
9000;2138875
9100;1914583
9200;1960417
9300;1843875
9400;1909709
9500;1842250
9600;1961292
9700;1998833
9800;1772750
9900;1767584
10000;1753208
