size;time
500;267250
600;115042
700;158750
800;211250
900;263583
1000;322833
1100;386917
1200;450417
1300;521916
1400;552000
1500;633584
1600;713292
1700;801208
1800;924959
1900;1064959
2000;1161167
2100;389334
2200;442250
2300;502875
2400;505625
2500;528667
2600;569000
2700;603416
2800;643541
2900;696000
3000;728417
3100;817875
3200;817583
3300;862583
3400;910334
3500;971583
3600;1009875
3700;1063000
3800;1124458
3900;1277208
4000;1227166
4100;1283542
4200;1472583
4300;1400833
4400;1461458
4500;1573916
4600;1587042
4700;1653792
4800;1715458
4900;1789625
5000;1852000
5100;1920958
5200;2015792
5300;2061458
5400;2472709
5500;2219041
5600;2321000
5700;2368708
5800;2443625
5900;2523458
6000;2617875
6100;2686584
6200;2772833
6300;2906667
6400;3008875
6500;3029167
6600;3143875
6700;3427208
6800;3327083
6900;3410458
7000;3495166
7100;3602125
7200;3675333
7300;3778125
7400;3941958
7500;3970458
7600;4093250
7700;4177625
7800;4353042
7900;4464833
8000;4563000
8100;4604083
8200;4339791
8300;1651375
8400;1678167
8500;1709917
8600;1742000
8700;1785959
8800;1810166
8900;1844292
9000;1878416
9100;1917792
9200;1949917
9300;1991250
9400;2026167
9500;2067083
9600;2151375
9700;2140708
9800;2177333
9900;2215208
10000;2252417
